ClassName,Namespace,Lines,Methods,Fields,Properties
"CentralizadorScripts","",0,8,0,0
"Physics2DMigrator","",0,20,0,0
"ILWeaver","Fusion.CodeGen",0,4,0,0
"ILWeaver","Fusion.CodeGen",0,4,0,0
"ILWeaver","Fusion.CodeGen",0,4,0,0
"ILWeaver","Fusion.CodeGen",0,4,0,0
"ILWeaverImportedType","Fusion.CodeGen",0,2,0,0
"ILWeaverAssembly","Fusion.CodeGen",0,3,0,0
"ILWeaverAssemblyResolver","Fusion.CodeGen",0,4,0,0
"ILWeaverAssemblyResolver","Fusion.CodeGen",0,4,0,0
"ILWeaverBindings","Fusion.CodeGen",0,1,0,0
"ReflectionImporterProvider","Fusion.CodeGen",0,2,0,0
"ReflectionImporter","Fusion.CodeGen",0,2,0,0
"ILWeaverBindings","Fusion.CodeGen",0,1,0,0
"ILWeaverBindings","Fusion.CodeGen",0,1,0,0
"ILWeaverBindings","Fusion.CodeGen",0,1,0,0
"ILWeaverBindings","Fusion.CodeGen",0,1,0,0
"ILWeaverException","Fusion.CodeGen",0,61,0,0
"ILWeaverExtensions","Fusion.CodeGen",0,827,0,0
"TypeOrTypeRef","Fusion.CodeGen",0,6,0,0
"ILWeaverLog","Fusion.CodeGen",0,4,0,0
"ILWeaverLoggerDiagnosticMessages","Fusion.CodeGen",0,1,0,0
"ILWeaverLoggerUnityDebug","Fusion.CodeGen",0,1,0,0
"MethodContext","Fusion.CodeGen",0,5,0,0
"RpcMethodContext","Fusion.CodeGen",0,3,0,0
"ILWeaverOpCodes","Fusion.CodeGen",0,827,0,0
"ILWeaverSettings","Fusion.CodeGen",0,2,0,0
"InstructionEqualityComparer","Fusion.CodeGen",0,1,0,0
"MemberReferenceFullNameComparer","Fusion.CodeGen",0,827,0,0
"MonoCecilExtensions","Fusion.CodeGen",0,827,0,0
"TmpVariable","Fusion.CodeGen",0,827,0,0
"NetworkTypeInfo","Fusion.CodeGen",0,2,0,0
"NetworkTypeInfoRegistry","Fusion.CodeGen",0,2,0,0
"NetworkTypeWrapInfo","Fusion.CodeGen",0,1,0,0
"var","Fusion.CodeGen",0,0,0,0
"ILProcessorMacro","Fusion.CodeGen",0,0,0,0
"ILWeaverLogger","Fusion.CodeGen",0,0,0,0
"ILWeaverSettings","Fusion.CodeGen",0,1,0,0
"AssetObjectEditor","Fusion.Editor",0,1146,0,0
"BehaviourEditor","Fusion.Editor",0,1146,0,0
"ChangeDllManager","Fusion.Editor",0,1146,0,0
"FixedBufferPropertyAttributeDrawer","Fusion.Editor",0,1146,0,0
"SurrogatePool","Fusion.Editor",0,2,0,0
"PropertyEntry","Fusion.Editor",0,1,0,0
"INetworkPrefabSourceDrawer","Fusion.Editor",0,1146,0,0
"NetworkBoolDrawer","Fusion.Editor",0,1146,0,0
"NetworkObjectGuidDrawer","Fusion.Editor",0,1146,0,0
"NetworkPrefabAttributeDrawer","Fusion.Editor",0,1146,0,0
"NetworkPrefabRefDrawer","Fusion.Editor",0,1146,0,0
"NetworkStringDrawer","Fusion.Editor",0,1,0,0
"NormalizedRectAttributeDrawer","Fusion.Editor",0,1146,0,0
"SceneRefDrawer","Fusion.Editor",0,1146,0,0
"SerializableDictionaryDrawer","Fusion.Editor",0,1146,0,0
"TickRateDrawer","Fusion.Editor",0,1146,0,0
"EditorRecompileHook","Fusion.Editor",0,1,0,0
"FusionAssistants","Fusion.Editor",0,1146,0,0
"HierarchyIteratorExtensions","Fusion.Editor",0,1146,0,0
"LazyLoadReferenceExtensions","Fusion.Editor",0,1146,0,0
"ObjectExtensions","Fusion.Editor",0,1146,0,0
"FusionBootstrapEditor","Fusion.Editor",0,1146,0,0
"FusionBuildTriggers","Fusion.Editor",0,1146,0,0
"NetworkAssetSourceFactoryAddressable","Fusion.Editor",0,1,0,0
"NetworkAssetSourceFactoryResource","Fusion.Editor",0,1146,0,0
"NetworkAssetSourceFactoryStatic","Fusion.Editor",0,1146,0,0
"AssetDatabaseUtils","Fusion.Editor",0,1146,0,0
"AssetDatabaseUtils","Fusion.Editor",0,1146,0,0
"of","Fusion.Editor",0,1146,0,0
"HashCodeUtilities","Fusion.Editor",0,1146,0,0
"LazyAsset","Fusion.Editor",0,1,0,0
"LazyGUIStyle","Fusion.Editor",0,2,0,0
"LazyGUIContent","Fusion.Editor",0,2,0,0
"LazyAsset","Fusion.Editor",0,1,0,0
"PathUtils","Fusion.Editor",0,1146,0,0
"FusionCodeDoc","Fusion.Editor",0,1146,0,0
"CodeDoc","Fusion.Editor",0,1,0,0
"Postprocessor","Fusion.Editor",0,1146,0,0
"Regexes","Fusion.Editor",0,1146,0,0
"FusionCustomDependency","Fusion.Editor",0,1,0,0
"for","Fusion.Editor",0,7,0,0
"FusionEditor","Fusion.Editor",0,1146,0,0
"FusionEditorGUI","Fusion.Editor",0,1146,0,0
"InlineHelpStyle","Fusion.Editor",0,1146,0,0
"LazyAuto","Fusion.Editor",0,1,0,0
"LazyAuto","Fusion.Editor",0,1,0,0
"PropertyDrawerOrderComparer","Fusion.Editor",0,1146,0,0
"FusionEditorGUI","Fusion.Editor",0,1146,0,0
"FusionEditorGUI","Fusion.Editor",0,1146,0,0
"CustomEditorScope","Fusion.Editor",0,1,0,0
"FusionEditorGUI","Fusion.Editor",0,1146,0,0
"FusionEditorUtility","Fusion.Editor",0,1146,0,0
"FusionGlobalScriptableObjectEditorAttribute","Fusion.Editor",0,1,0,0
"FusionGlobalScriptableObjectUtils","Fusion.Editor",0,1146,0,0
"FusionGridState","Fusion.Editor",0,1146,0,0
"FusionGridItem","Fusion.Editor",0,1146,0,0
"FusionGrid","Fusion.Editor",0,1,0,0
"FusionGrid","Fusion.Editor",0,1,0,0
"GUIState","Fusion.Editor",0,1,0,0
"Column","Fusion.Editor",0,1146,0,0
"InternalTreeView","Fusion.Editor",0,2,0,0
"ComparisonComparer","Fusion.Editor",0,1,0,0
"InternalTreeViewItem","Fusion.Editor",0,1146,0,0
"FusionMonoBehaviourDefaultEditor","Fusion.Editor",0,1146,0,0
"FusionPropertyDrawerMetaAttribute","Fusion.Editor",0,1146,0,0
"FusionScriptableObjectDefaultEditor","Fusion.Editor",0,1146,0,0
"ReflectionUtils","Fusion.Editor",0,1146,0,0
"to","Fusion.Editor",0,1146,0,0
"to","Fusion.Editor",0,1146,0,0
"DelegateSwizzle","Fusion.Editor",0,4,0,0
"DelegateSwizzle","Fusion.Editor",0,4,0,0
"SerializedPropertyUtilities","Fusion.Editor",0,1146,0,0
"SerializedPropertyEqualityComparer","Fusion.Editor",0,1146,0,0
"UnityInternal","Fusion.Editor",0,1146,0,0
"AssetDatabase","Fusion.Editor",0,1146,0,0
"Event","Fusion.Editor",0,1146,0,0
"Editor","Fusion.Editor",0,1146,0,0
"EditorGUI","Fusion.Editor",0,1146,0,0
"EditorUtility","Fusion.Editor",0,1146,0,0
"GUIClip","Fusion.Editor",0,1146,0,0
"HandleUtility","Fusion.Editor",0,1146,0,0
"LayerMatrixGUI","Fusion.Editor",0,1146,0,0
"DecoratorDrawer","Fusion.Editor",0,1146,0,0
"PropertyDrawer","Fusion.Editor",0,1146,0,0
"EditorGUIUtility","Fusion.Editor",0,1146,0,0
"HierarchyIterator","Fusion.Editor",0,1146,0,0
"ScriptAttributeUtility","Fusion.Editor",0,1146,0,0
"Statics","Fusion.Editor",0,1146,0,0
"Statics","Fusion.Editor",0,1146,0,0
"EditorApplication","Fusion.Editor",0,1146,0,0
"Statics","Fusion.Editor",0,1146,0,0
"InspectorWindow","Fusion.Editor",0,1,0,0
"SerializedProperty","Fusion.Editor",0,1146,0,0
"SplitterGUILayout","Fusion.Editor",0,1146,0,0
"SplitterState","Fusion.Editor",0,1,0,0
"InternalStyles","Fusion.Editor",0,1,0,0
"ArrayLengthAttributeDrawer","Fusion.Editor",0,1146,0,0
"OdinAttributeProxy","Fusion.Editor",0,8,0,0
"OdinDrawer","Fusion.Editor",0,1146,0,0
"BinaryDataAttributeDrawer","Fusion.Editor",0,1146,0,0
"DoIfAttributeDrawer","Fusion.Editor",0,1146,0,0
"OdinProxyAttributeBase","Fusion.Editor",0,1146,0,0
"OdinDrawerBase","Fusion.Editor",0,1146,0,0
"DrawIfAttributeDrawer","Fusion.Editor",0,1146,0,0
"OdinAttributeProxy","Fusion.Editor",0,8,0,0
"OdinDrawer","Fusion.Editor",0,1146,0,0
"DrawInlineAttributeDrawer","Fusion.Editor",0,1146,0,0
"ErrorIfAttributeDrawer","Fusion.Editor",0,1146,0,0
"OdinAttributeProxy","Fusion.Editor",0,8,0,0
"OdinDrawer","Fusion.Editor",0,1146,0,0
"FieldEditorButtonAttributeDrawer","Fusion.Editor",0,1146,0,0
"OdinAttributeProxy","Fusion.Editor",0,8,0,0
"OdinDrawer","Fusion.Editor",0,1146,0,0
"HideArrayElementLabelAttributeDrawer","Fusion.Editor",0,1146,0,0
"InlineHelpAttributeDrawer","Fusion.Editor",0,1146,0,0
"OdinAttributeProxy","Fusion.Editor",0,8,0,0
"OdinDrawer","Fusion.Editor",0,1146,0,0
"LayerMatrixAttributeDrawer","Fusion.Editor",0,1146,0,0
"OdinAttributeProxy","Fusion.Editor",0,8,0,0
"OdinDrawer","Fusion.Editor",0,1146,0,0
"FusionOdinAttributeConverterAttribute","Fusion.Editor",0,1146,0,0
"FusionOdinAttributeProcessor","Fusion.Editor",0,1146,0,0
"FusionOdinExtensions","Fusion.Editor",0,1146,0,0
"ReadOnlyAttributeDrawer","Fusion.Editor",0,1146,0,0
"SerializeReferenceTypePickerAttributeDrawer","Fusion.Editor",0,1146,0,0
"UnitAttributeDrawer","Fusion.Editor",0,1146,0,0
"OdinAttributeProxy","Fusion.Editor",0,8,0,0
"OdinUnitAttributeDrawer","Fusion.Editor",0,1146,0,0
"WarnIfAttributeDrawer","Fusion.Editor",0,1146,0,0
"OdinAttributeProxy","Fusion.Editor",0,8,0,0
"OdinDrawer","Fusion.Editor",0,1146,0,0
"PropertyDrawerForArrayWorkaround","Fusion.Editor",0,1,0,0
"ArrayLengthAttributeDrawer","Fusion.Editor",0,1146,0,0
"AssemblyNameAttributeDrawer","Fusion.Editor",0,1146,0,0
"AsmDefData","Fusion.Editor",0,1146,0,0
"PropertyDrawerForArrayWorkaround","Fusion.Editor",0,1,0,0
"BinaryDataAttributeDrawer","Fusion.Editor",0,1146,0,0
"BitSetAttributeDrawer","Fusion.Editor",0,1146,0,0
"DecoratingPropertyAttributeDrawer","Fusion.Editor",0,1,0,0
"DirectoryPathAttributeDrawer","Fusion.Editor",0,1146,0,0
"DisplayAsEnumAttributeDrawer","Fusion.Editor",0,1146,0,0
"PropertyDrawerForArrayWorkaround","Fusion.Editor",0,1,0,0
"DisplayNameAttributeDrawer","Fusion.Editor",0,1146,0,0
"DoIfAttributeDrawer","Fusion.Editor",0,1146,0,0
"PropertyDrawerForArrayWorkaround","Fusion.Editor",0,1,0,0
"DrawIfAttributeDrawer","Fusion.Editor",0,1146,0,0
"DrawInlineAttributeDrawer","Fusion.Editor",0,1146,0,0
"PropertyDrawerForArrayWorkaround","Fusion.Editor",0,1,0,0
"ErrorIfAttributeDrawer","Fusion.Editor",0,1146,0,0
"ExpandableEnumAttributeDrawer","Fusion.Editor",0,1146,0,0
"PropertyDrawerForArrayWorkaround","Fusion.Editor",0,1,0,0
"FieldEditorButtonAttributeDrawer","Fusion.Editor",0,1146,0,0
"HideArrayElementLabelAttributeDrawer","Fusion.Editor",0,1146,0,0
"PropertyDrawerForArrayWorkaround","Fusion.Editor",0,1,0,0
"InlineHelpAttributeDrawer","Fusion.Editor",0,1146,0,0
"LayerAttributeDrawer","Fusion.Editor",0,1146,0,0
"PropertyDrawerForArrayWorkaround","Fusion.Editor",0,1,0,0
"LayerMatrixAttributeDrawer","Fusion.Editor",0,1146,0,0
"LayerMatrixPopup","Fusion.Editor",0,3,0,0
"MaxStringByteCountAttributeDrawer","Fusion.Editor",0,1146,0,0
"MessageIfDrawerBase","Fusion.Editor",0,1146,0,0
"PropertyDrawerForArrayWorkaround","Fusion.Editor",0,1,0,0
"RedirectCustomPropertyDrawerAttribute","Fusion.Editor",0,1,0,0
"DummyPropertyDrawer","Fusion.Editor",0,1,0,0
"PropertyDrawerWithErrorHandling","Fusion.Editor",0,1146,0,0
"RangeExAttributeDrawer","Fusion.Editor",0,1146,0,0
"PropertyDrawerForArrayWorkaround","Fusion.Editor",0,1,0,0
"ReadOnlyAttributeDrawer","Fusion.Editor",0,1146,0,0
"ScenePathAttributeDrawer","Fusion.Editor",0,1146,0,0
"ScriptFieldDrawer","Fusion.Editor",0,2,0,0
"SerializableTypeDrawer","Fusion.Editor",0,1146,0,0
"SerializeReferenceTypePickerAttributeDrawer","Fusion.Editor",0,1146,0,0
"PropertyDrawerForArrayWorkaround","Fusion.Editor",0,1,0,0
