ClassName,MethodName,ReturnType,AccessLevel,Static,Async,Parameters
"FusionEditorConfigImporter","OnImportAsset","void","public",False,False,"AssetImportContext ctx"
"AssetObjectEditor","OnInspectorGUI","void","public",False,False,""
"ChangeDllManager","ChangeDllModeToSharedDebug","void","public",True,False,""
"ChangeDllManager","ChangeDllModeToSharedRelease","void","public",True,False,""
"ChangeDllManager","ChangeDllMode","void","private",True,False,"NetworkRunner.BuildTypes buildType"
"ChangeDllManager","GetBuildTypeExtension","string","private",False,False,"NetworkRunner.BuildTypes referenceBuildType"
"ChangeDllManager","GetBuildTypeSubFolder","string","private",False,False,"NetworkRunner.BuildTypes referenceBuildModes"
"FixedBufferPropertyAttributeDrawer","GetPropertyHeight","float","public",False,False,"SerializedProperty property; GUIContent label"
"FixedBufferPropertyAttributeDrawer","OnGUIInternal","void","protected",False,False,"Rect position; SerializedProperty property; GUIContent label"
"FixedBufferPropertyAttributeDrawer","DoFloatField","void","private",False,False,"Rect position; SerializedProperty property; GUIContent label; IUnityValueSurrogate<float> surrogate"
"FixedBufferPropertyAttributeDrawer","DoFloatVectorProperty","void","private",False,False,"Rect position; SerializedProperty property; GUIContent label; int count; IUnityValueSurrogate<T> readerWriter"
"FixedBufferPropertyAttributeDrawer","GetFixedBufferProperty","SerializedProperty","private",False,False,"SerializedProperty prop"
"FixedBufferPropertyAttributeDrawer","NeedsSurrogate","bool","private",False,False,"SerializedProperty property"
"FixedBufferPropertyAttributeDrawer","UpdateSurrogateFromFixedBuffer","bool","private",False,False,"SerializedProperty sp; UnitySurrogateBase surrogate; bool write; bool force"
"SurrogatePool","SurrogatePool","«ctor»","public",False,False,""
"SurrogatePool","Acquire","PropertyEntry","public",False,False,"FieldInfo field; int capacity; SerializedProperty property; Type type"
"INetworkPrefabSourceDrawer","OnGUIInternal","void","protected",False,False,"Rect position; SerializedProperty property; GUIContent label"
"INetworkPrefabSourceDrawer","DrawThumbnailPrefix","Rect","public",True,False,"Rect position; INetworkPrefabSource source"
"INetworkPrefabSourceDrawer","DrawThumbnail","void","public",True,False,"Rect position; INetworkPrefabSource source"
"INetworkPrefabSourceDrawer","DrawSourceObjectPicker","INetworkPrefabSource","public",True,False,"Rect position; GUIContent label; INetworkPrefabSource source"
"INetworkPrefabSourceDrawer","GetPropertyHeight","float","public",False,False,"SerializedProperty property; GUIContent label"
"NetworkBoolDrawer","OnGUI","void","public",False,False,"Rect position; SerializedProperty property; GUIContent label"
"NetworkObjectGuidDrawer","OnGUIInternal","void","protected",False,False,"Rect position; SerializedProperty property; GUIContent label"
"NetworkObjectGuidDrawer","GetValue","NetworkObjectGuid","public",True,False,"SerializedProperty property"
"NetworkObjectGuidDrawer","SetValue","void","public",True,False,"SerializedProperty property; NetworkObjectGuid guid"
"NetworkPrefabAttributeDrawer","OnGUIInternal","void","protected",False,False,"Rect position; SerializedProperty property; GUIContent label"
"NetworkPrefabRefDrawer","OnGUIInternal","void","protected",False,False,"Rect position; SerializedProperty property; GUIContent label"
"NetworkPrefabRefDrawer","DrawNetworkPrefabPicker","NetworkObject","public",True,False,"Rect position; GUIContent label; NetworkObject prefab"
"NetworkStringDrawer","NetworkStringDrawer","«ctor»","public",False,False,""
"NetworkStringDrawer","OnGUIInternal","void","protected",False,False,"Rect position; SerializedProperty property; GUIContent label"
"SceneRefDrawer","OnGUI","void","public",False,False,"Rect position; SerializedProperty property; GUIContent label"
"SerializableDictionaryDrawer","OnGUIInternal","void","protected",False,False,"Rect position; SerializedProperty property; GUIContent label"
"SerializableDictionaryDrawer","GetPropertyHeight","float","public",False,False,"SerializedProperty property; GUIContent label"
"SerializableDictionaryDrawer","VerifyDictionary","string","private",True,False,"SerializedProperty prop; string keyPropertyName"
"TickRateDrawer","GetPropertyHeight","float","public",False,False,"SerializedProperty property; GUIContent label"
"TickRateDrawer","DrawPopup","int","private",False,False,"ref Rect labelRect; ref Rect fieldRect; float rowHeight; GUIContent guiContent; int[] sliderValues; int[] values; GUIContent[] options; int currentValue; int offset = 0"
"TickRateDrawer","OnGUI","void","public",False,False,"Rect position; SerializedProperty property; GUIContent label"
"TickRateDrawer","GetIndexForClientRate","int","private",False,False,"int clientRate"
"TickRateDrawer","ExtractClientRates","void","private",True,False,""
"TickRateDrawer","GetSelectionValue","TickRate.Selection","private",True,False,"SerializedProperty property"
"TickRateDrawer","GetValueFromFieldName","object","private",True,False,"string name; object obj; BindingFlags bindings = BindingFlags.Instance | BindingFlags.Static | BindingFlags.Public | BindingFlags.NonPublic"
"EditorRecompileHook","EditorRecompileHook","«ctor»","private",True,False,""
"EditorRecompileHook","ShutdownRunners","void","private",True,False,""
"EditorRecompileHook","StoreConfigPath","void","private",True,False,""
"FusionAssistants","EnsureComponentExists","T","public",True,False,"this GameObject go"
"FusionAssistants","EnsureComponentsExistInScene","GameObject","public",True,False,"string preferredGameObjectName; params Type[] components"
"FusionAssistants","EnsureExistsInScene","T","public",True,False,"string preferredGameObjectName = null; GameObject onThisObject = null; params Type[] otherRequiredComponents"
"FusionAssistants","CreatePrimitive","GameObject","public",True,False,"PrimitiveType? primitive; string name; Vector3? position; Quaternion? rotation; Vector3? scale; Transform parent; Material material; params Type[] addComponents"
"FusionAssistants","EnsureComponentHasVisibilityNode","EnableOnSingleRunner","internal",True,False,"this Component component"
"HierarchyIteratorExtensions","GetObjectId","int","public",True,False,"this HierarchyIterator iterator"
"HierarchyIteratorExtensions","GetAssetGuid","GUID","public",True,False,"this HierarchyIterator iterator"
"LazyLoadReferenceExtensions","GetObjectId","int","public",True,False,"this LazyLoadReference<T> obj"
"ObjectExtensions","GetObjectId","int","public",True,False,"this UnityEngine.Object obj"
"FusionBootstrapEditor","OnInspectorGUI","void","public",False,False,""
"FusionBuildTriggers","OnPreprocessBuild","void","public",False,False,"BuildReport report"
"NetworkAssetSourceFactoryContext","NetworkAssetSourceFactoryContext","«ctor»","public",False,False,"string assetGuid; ObjectIdType instanceID; string assetName; bool isMainAsset"
"NetworkAssetSourceFactoryContext","NetworkAssetSourceFactoryContext","«ctor»","public",False,False,"HierarchyIteratorType hierarchyProperty"
"NetworkAssetSourceFactoryContext","NetworkAssetSourceFactoryContext","«ctor»","public",False,False,"UnityEngine.Object obj"
"NetworkAssetSourceFactoryResource","TryCreateInternal","bool","protected",False,False,"in NetworkAssetSourceFactoryContext context; out TSource result"
"NetworkAssetSourceFactoryStatic","TryCreateInternal","bool","protected",False,False,"in NetworkAssetSourceFactoryContext context; out TSource result"
"AssetDatabaseUtils","SetAssetAndTheMainAssetDirty","void","public",True,False,"UnityEngine.Object obj"
"AssetDatabaseUtils","GetAssetPathOrThrow","string","public",True,False,"ObjectIdType instanceID"
"AssetDatabaseUtils","GetAssetPathOrThrow","string","public",True,False,"UnityEngine.Object obj"
"AssetDatabaseUtils","GetAssetPathOrThrow","string","public",True,False,"string assetGuid"
"AssetDatabaseUtils","GetAssetGuidOrThrow","string","public",True,False,"string assetPath"
"AssetDatabaseUtils","GetAssetGuidOrThrow","string","public",True,False,"ObjectIdType instanceId"
"AssetDatabaseUtils","GetAssetGuidOrThrow","string","public",True,False,"UnityEngine.Object obj"
"AssetDatabaseUtils","GetGUIDAndLocalFileIdentifierOrThrow","(string, long)","public",True,False,"LazyLoadReference<T> reference"
"AssetDatabaseUtils","GetGUIDAndLocalFileIdentifierOrThrow","(string, long)","public",True,False,"UnityEngine.Object obj"
"AssetDatabaseUtils","GetGUIDAndLocalFileIdentifierOrThrow","(string, long)","public",True,False,"ObjectIdType instanceId"
"AssetDatabaseUtils","MoveAssetOrThrow","void","public",True,False,"string source; string destination"
"AssetDatabaseUtils","HasLabel","bool","public",True,False,"string assetPath; string label"
"AssetDatabaseUtils","HasLabel","bool","public",True,False,"UnityEngine.Object obj; string label"
"AssetDatabaseUtils","HasLabel","bool","public",True,False,"GUID guid; string label"
"AssetDatabaseUtils","HasAnyLabel","bool","public",True,False,"string assetPath; params string[] labels"
"AssetDatabaseUtils","HasAnyLabel","bool","public",True,False,"UnityEngine.Object asset; params string[] labels"
"AssetDatabaseUtils","SetLabel","bool","public",True,False,"string assetPath; string label; bool present"
"AssetDatabaseUtils","SetLabel","bool","public",True,False,"UnityEngine.Object obj; string label; bool present"
