From,RelationType,To
"FusionGlobalScriptableObjectAddressAttribute",hereda,"FusionGlobalScriptableObjectSourceAttribute"
"FusionGlobalScriptableObjectResourceAttribute",hereda,"FusionGlobalScriptableObjectSourceAttribute"
"FusionCoroutine",implementa,"ICoroutine"
"FusionCoroutine",implementa,"IDisposable"
"FusionLogInitializer",usa,"FusionUnityLogger"
"FusionUnityLogger",hereda,"FusionUnityLoggerBase"
"FusionUnityLogger",usa,"Stage"
"JsonUtilityExtensions",usa,"TypeNameWrapper"
"FusionMppm",usa,"FusionMppmStatus"
"FusionMppm",usa,"FusionMppmCommand"
"NetworkObjectBaker",usa,"TransformPath"
"NetworkObjectBaker",usa,"TransformPathCache"
"NetworkObjectBaker",usa,"Result"
"NetworkObjectBaker",usa,"_Indices"
"TransformPath",usa,"_Indices"
"TransformPathCache",implementa,"IComparer"
"TransformPathCache",implementa,"IEqualityComparer"
"TransformPathCache",usa,"TransformPath"
"NetworkPrefabSourceStatic",hereda,"NetworkAssetSourceStatic"
"NetworkPrefabSourceStatic",implementa,"INetworkPrefabSource"
"NetworkPrefabSourceStaticLazy",hereda,"NetworkAssetSourceStaticLazy"
"NetworkPrefabSourceStaticLazy",implementa,"INetworkPrefabSource"
"NetworkPrefabSourceResource",hereda,"NetworkAssetSourceResource"
"NetworkPrefabSourceResource",implementa,"INetworkPrefabSource"
"FusionStatisticsHelper",usa,"RenderSimStats"
"FusionStatsGraphBase",hereda,"MonoBehaviour"
"FusionStatsGraphBase",usa,"FusionStatBuffer"
"FusionStatsGraphBase",usa,"FusionStatistics"
"SceneEqualityComparer",implementa,"IEqualityComparer"
"NetworkRunnerVisibilityExtensions",usa,"IRunnerVisibilityRecognizedType"
"NetworkRunnerVisibilityExtensions",usa,"RunnerVisibility"
"NetworkRunnerVisibilityExtensions",usa,"RunnerVisibilityLink"
"NetworkRunnerVisibilityExtensions",usa,"RunnerVisibilityLinksRoot"
"NetworkRunnerVisibilityExtensions",usa,"EnableOnSingleRunner"
"NetworkRunnerVisibilityExtensions",usa,"PreferredRunners"
"RunnerVisibility",usa,"RunnerVisibilityLink"
"VfxController",hereda,"MonoBehaviour"
"DropdownController",hereda,"MonoBehaviour"
"DropdownController",usa,"VfxController"
"DebugColisionesFull",hereda,"MonoBehaviour"
"CollisionDetector",hereda,"MonoBehaviour"
"DesactivarPorTimer",hereda,"MonoBehaviour"
"UnitView",hereda,"MonoBehaviour"
"UnitView",usa,"UnitModel"
